Problem,Step,Rank,Track,V1
f.rnd,1,b,SPT,5714
f.rnd,1,b,LPT,5714
f.rnd,1,b,LWR,5714
f.rnd,1,b,MWR,5714
f.rnd,1,b,RND,5714
f.rnd,1,b,OPT,5714
f.rnd,1,b,ES.rho,5714
f.rnd,1,b,ES.Cmax,5714
f.rnd,2,b,SPT,7326
f.rnd,2,b,LPT,6512
f.rnd,2,b,LWR,7560
f.rnd,2,b,MWR,6058
f.rnd,2,b,RND,6978
f.rnd,2,b,OPT,7922
f.rnd,2,b,ES.rho,7046
f.rnd,2,b,ES.Cmax,7012
f.rnd,3,b,SPT,8002
f.rnd,3,b,LPT,6292
f.rnd,3,b,LWR,7910
f.rnd,3,b,MWR,6342
f.rnd,3,b,RND,7612
f.rnd,3,b,OPT,8018
f.rnd,3,b,ES.rho,7532
f.rnd,3,b,ES.Cmax,7666
f.rnd,4,b,SPT,7988
f.rnd,4,b,LPT,5548
f.rnd,4,b,LWR,7960
f.rnd,4,b,MWR,5876
f.rnd,4,b,RND,7464
f.rnd,4,b,OPT,8008
f.rnd,4,b,ES.rho,7074
f.rnd,4,b,ES.Cmax,7490
f.rnd,5,b,SPT,8014
f.rnd,5,b,LPT,3972
f.rnd,5,b,LWR,7980
f.rnd,5,b,MWR,5190
f.rnd,5,b,RND,6974
f.rnd,5,b,OPT,7806
f.rnd,5,b,ES.rho,7074
f.rnd,5,b,ES.Cmax,7348
f.rnd,6,b,SPT,7980
f.rnd,6,b,LPT,3168
f.rnd,6,b,LWR,4612
f.rnd,6,b,MWR,4848
f.rnd,6,b,RND,6624
f.rnd,6,b,OPT,7508
f.rnd,6,b,ES.rho,6898
f.rnd,6,b,ES.Cmax,7410
f.rnd,7,b,SPT,7532
f.rnd,7,b,LPT,2490
f.rnd,7,b,LWR,5348
f.rnd,7,b,MWR,4770
f.rnd,7,b,RND,5968
f.rnd,7,b,OPT,7230
f.rnd,7,b,ES.rho,6330
f.rnd,7,b,ES.Cmax,6748
f.rnd,8,b,SPT,7144
f.rnd,8,b,LPT,1892
f.rnd,8,b,LWR,5312
f.rnd,8,b,MWR,4740
f.rnd,8,b,RND,5584
f.rnd,8,b,OPT,6944
f.rnd,8,b,ES.rho,5612
f.rnd,8,b,ES.Cmax,6514
f.rnd,9,b,SPT,6732
f.rnd,9,b,LPT,1508
f.rnd,9,b,LWR,5296
f.rnd,9,b,MWR,4494
f.rnd,9,b,RND,5276
f.rnd,9,b,OPT,6540
f.rnd,9,b,ES.rho,4988
f.rnd,9,b,ES.Cmax,6200
f.rnd,10,b,SPT,6158
f.rnd,10,b,LPT,1356
f.rnd,10,b,LWR,5264
f.rnd,10,b,MWR,4290
f.rnd,10,b,RND,4778
f.rnd,10,b,OPT,6336
f.rnd,10,b,ES.rho,4526
f.rnd,10,b,ES.Cmax,6036
f.rnd,11,b,SPT,5694
f.rnd,11,b,LPT,1136
f.rnd,11,b,LWR,3016
f.rnd,11,b,MWR,4422
f.rnd,11,b,RND,4604
f.rnd,11,b,OPT,5886
f.rnd,11,b,ES.rho,4038
f.rnd,11,b,ES.Cmax,5384
f.rnd,12,b,SPT,5098
f.rnd,12,b,LPT,1044
f.rnd,12,b,LWR,3320
f.rnd,12,b,MWR,4374
f.rnd,12,b,RND,4502
f.rnd,12,b,OPT,5516
f.rnd,12,b,ES.rho,3374
f.rnd,12,b,ES.Cmax,4930
f.rnd,13,b,SPT,4596
f.rnd,13,b,LPT,796
f.rnd,13,b,LWR,3096
f.rnd,13,b,MWR,4356
f.rnd,13,b,RND,4044
f.rnd,13,b,OPT,5220
f.rnd,13,b,ES.rho,2962
f.rnd,13,b,ES.Cmax,4562
f.rnd,14,b,SPT,4070
f.rnd,14,b,LPT,804
f.rnd,14,b,LWR,2946
f.rnd,14,b,MWR,4366
f.rnd,14,b,RND,3604
f.rnd,14,b,OPT,5032
f.rnd,14,b,ES.rho,2880
f.rnd,14,b,ES.Cmax,4382
f.rnd,15,b,SPT,3538
f.rnd,15,b,LPT,648
f.rnd,15,b,LWR,2846
f.rnd,15,b,MWR,4262
f.rnd,15,b,RND,3358
f.rnd,15,b,OPT,4786
f.rnd,15,b,ES.rho,2918
f.rnd,15,b,ES.Cmax,4016
f.rnd,16,b,SPT,3158
f.rnd,16,b,LPT,622
f.rnd,16,b,LWR,1536
f.rnd,16,b,MWR,4068
f.rnd,16,b,RND,2974
f.rnd,16,b,OPT,4550
f.rnd,16,b,ES.rho,2552
