Problem,Step,Track,V1
f.rnd,1,SPT,3000
f.rnd,1,LPT,3000
f.rnd,1,LWR,3000
f.rnd,1,MWR,3000
f.rnd,1,RND,3000
f.rnd,1,OPT,3000
f.rnd,1,ES.rho,3000
f.rnd,1,ES.Cmax,3000
f.rnd,2,SPT,3000
f.rnd,2,LPT,3000
f.rnd,2,LWR,3000
f.rnd,2,MWR,3000
f.rnd,2,RND,3000
f.rnd,2,OPT,3000
f.rnd,2,ES.rho,3000
f.rnd,2,ES.Cmax,3000
f.rnd,3,SPT,3000
f.rnd,3,LPT,3000
f.rnd,3,LWR,3000
f.rnd,3,MWR,3000
f.rnd,3,RND,3000
f.rnd,3,OPT,3000
f.rnd,3,ES.rho,3000
f.rnd,3,ES.Cmax,3000
f.rnd,4,SPT,3000
f.rnd,4,LPT,3000
f.rnd,4,LWR,3000
f.rnd,4,MWR,3000
f.rnd,4,RND,3000
f.rnd,4,OPT,3000
f.rnd,4,ES.rho,3000
f.rnd,4,ES.Cmax,3000
f.rnd,5,SPT,3000
f.rnd,5,LPT,3000
f.rnd,5,LWR,3000
f.rnd,5,MWR,3000
f.rnd,5,RND,3000
f.rnd,5,OPT,3000
f.rnd,5,ES.rho,3000
f.rnd,5,ES.Cmax,3000
f.rnd,6,SPT,2990
f.rnd,6,LPT,2990
f.rnd,6,LWR,2500
f.rnd,6,MWR,3000
f.rnd,6,RND,3000
f.rnd,6,OPT,2987
f.rnd,6,ES.rho,3000
f.rnd,6,ES.Cmax,3000
f.rnd,7,SPT,2961
f.rnd,7,LPT,2966
f.rnd,7,LWR,2500
f.rnd,7,MWR,3000
f.rnd,7,RND,2998
f.rnd,7,OPT,2978
f.rnd,7,ES.rho,2992
f.rnd,7,ES.Cmax,3000
f.rnd,8,SPT,2925
f.rnd,8,LPT,2928
f.rnd,8,LWR,2500
f.rnd,8,MWR,3000
f.rnd,8,RND,2993
f.rnd,8,OPT,2951
f.rnd,8,ES.rho,2965
f.rnd,8,ES.Cmax,2999
f.rnd,9,SPT,2876
f.rnd,9,LPT,2884
f.rnd,9,LWR,2500
f.rnd,9,MWR,3000
f.rnd,9,RND,2982
f.rnd,9,OPT,2930
f.rnd,9,ES.rho,2823
f.rnd,9,ES.Cmax,2989
f.rnd,10,SPT,2818
f.rnd,10,LPT,2816
f.rnd,10,LWR,2500
f.rnd,10,MWR,3000
f.rnd,10,RND,2969
