PID,Step,Rank,ResultingOptMakespan,Followed,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totproc,phi.wait,phi.mac,phi.macOps,phi.macfree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
0,0,-1,-7,1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
0,0,1,7,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
0,0,-1,-7,0,-24,0,-24,0,0,-116,0,0,0,-24,-24,0,0,0,0,0,-116,0
0,0,1,7,0,24,0,24,0,0,116,0,0,0,24,24,0,0,0,0,0,116,0
0,0,-1,-7,0,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
0,0,1,7,0,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
0,0,-1,-7,0,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
0,0,1,7,0,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
0,0,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,1,-1,-4,1,-33,0,-33,1,56,-170,-56,1,-1,-33,-33,0,-56,56,56,65,-226,0
0,1,1,4,1,33,0,33,-1,-56,170,56,-1,1,33,33,0,56,-56,-56,-65,226,0
0,1,-1,-4,0,-24,0,-24,0,0,-116,0,0,0,-24,-24,0,0,0,0,0,-116,0
0,1,1,4,0,24,0,24,0,0,116,0,0,0,24,24,0,0,0,0,0,116,0
0,1,-1,-4,0,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
0,1,1,4,0,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
0,1,-1,-4,0,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
0,1,1,4,0,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
0,1,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,1,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,2,-1,-4,1,-30,56,26,2,112,-170,-56,2,-1,26,26,0,-112,112,112,71,-282,0
0,2,1,4,1,30,-56,-26,-2,-112,170,56,-2,1,-26,-26,0,112,-112,-112,-71,282,0
0,2,-1,-4,0,-24,0,-24,0,0,-116,0,0,0,-24,-24,0,0,0,0,0,-116,0
0,2,1,4,0,24,0,24,0,0,116,0,0,0,24,24,0,0,0,0,0,116,0
0,2,-1,-4,0,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
0,2,1,4,0,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
0,2,-1,-4,0,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
0,2,1,4,0,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
0,2,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,2,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,3,-1,-4,1,-36,115,79,3,171,-170,-56,3,-1,79,53,0,-171,171,171,69,-341,0
0,3,1,4,1,36,-115,-79,-3,-171,170,56,-3,1,-79,-53,0,171,-171,-171,-69,341,0
0,3,-1,-4,0,-24,0,-24,0,0,-116,0,0,0,-24,0,0,0,0,0,0,-116,0
0,3,1,4,0,24,0,24,0,0,116,0,0,0,24,0,0,0,0,0,0,116,0
0,3,-1,-4,0,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
0,3,1,4,0,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
0,3,-1,-4,0,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
0,3,1,4,0,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
0,3,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,3,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,4,-1,-4,1,-30,168,138,4,224,-170,-56,4,-1,138,59,0,-224,224,224,75,-394,0
0,4,1,4,1,30,-168,-138,-4,-224,170,56,-4,1,-138,-59,0,224,-224,-224,-75,394,0
0,4,-1,-4,0,-24,0,-24,0,0,-116,0,0,0,-24,0,0,0,0,0,0,-116,0
0,4,1,4,0,24,0,24,0,0,116,0,0,0,24,0,0,0,0,0,0,116,0
0,4,-1,-4,0,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
0,4,1,4,0,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
